Method,N,Mean_CATE,Std_CATE,Median_CATE,Stability_SD,Stability_SD_std
T-Learner,211533,2353.792818145644,1565.8422452637835,2143.7989935810647,1764.7773706368207,153.26511961056957
S-Learner,211533,2345.2026003457245,1531.2033769092866,2144.467842245708,1753.8936888793103,156.46309835053475
X-Learner,211533,2379.221400940905,1410.9438645260534,2099.903444889496,1474.9869194110354,147.8990601662817
Linear-Interaction,211533,2279.1254062535477,1141.4424634225063,2301.238626338857,1267.7499204637315,52.11524671868653
Constant-Effect,211533,2308.3173985139533,4.547473508864641e-13,2308.317398513954,1.1368683772161603e-12,5.084229945850415e-13
