day,date,ts_reward,oracle_reward,ts_cumulative,oracle_cumulative,n_candidates,n_selected,daily_efficiency,cumulative_gap
22,2013-07-18,607.6810036140575,534.8669591676935,613304.2263551407,688604.4376975474,2,2,1.1361348709213035,-75300.21134240669
23,2013-07-22,35732.19644508011,41480.81734347614,649036.4228002208,730085.2550410235,445,100,0.8614149559591515,-81048.8322408027
24,2013-07-23,38060.94737932769,44693.79025036386,687097.3701795485,774779.0452913874,362,100,0.8515936367472846,-87681.67511183885
25,2013-07-24,42356.09216148983,48891.019223454656,729453.4623410384,823670.064514842,341,100,0.8663368617435203,-94216.6021738036
26,2013-07-25,46519.58603282308,54559.87670466781,775973.0483738615,878229.9412195098,464,100,0.8526336356042965,-102256.89284564834
27,2013-07-26,50776.51851415321,59322.8688127104,826749.5668880147,937552.8100322202,742,100,0.8559349797202311,-110803.24314420554
28,2013-08-01,343.1929607424309,182.07476518197285,827092.7598487571,937734.8847974022,1,1,1.8849012953521045,-110642.12494864513
29,2013-08-05,30855.950720460867,34005.37588700294,857948.7105692179,971740.2606844051,200,100,0.9073844918813027,-113791.55011518719
30,2013-08-06,36589.31552127519,40861.16666679307,894538.0260904931,1012601.4273511982,314,100,0.8954544988802409,-118063.40126070508
31,2013-08-07,43164.68452038277,48175.47787823043,937702.7106108759,1060776.9052294286,587,100,0.8959887150364534,-123074.19461855269
32,2013-08-08,46471.26437067325,52181.694415359736,984173.9749815491,1112958.5996447883,497,100,0.8905664120595207,-128784.62466323923
33,2013-08-09,46927.21668055537,54251.184142154605,1031101.1916621045,1167209.783786943,489,100,0.86499893822763,-136108.5921248385
34,2013-08-12,5681.147985537569,6004.155741643584,1036782.339647642,1173213.9395285866,20,20,0.9462026353071257,-136431.5998809446
35,2013-08-13,1385.0548503567397,1526.9504565029695,1038167.3944979988,1174740.8899850897,5,5,0.9070725539640626,-136573.4954870909
36,2013-08-15,343.37913882882214,282.8719659276223,1038510.7736368276,1175023.7619510172,1,1,1.213903038085724,-136512.9883141896
37,2013-08-19,36687.55386550618,42295.590894148445,1075198.3275023338,1217319.3528451656,463,100,0.8674084718977616,-142121.02534283185
38,2013-08-20,42164.51856009714,46058.71631421437,1117362.8460624309,1263378.06915938,462,100,0.9154514483740523,-146015.22309694905
39,2013-08-21,46619.39971947561,51170.03873538639,1163982.2457819064,1314548.1078947664,495,100,0.9110682905783338,-150565.86211285996
40,2013-08-22,48832.75182576497,53957.54183078299,1212814.9976076714,1368505.6497255494,462,100,0.9050218036045833,-155690.65211787797
41,2013-08-23,52147.69515807068,57055.081491808436,1264962.692765742,1425560.7312173578,671,100,0.9139886193232004,-160598.03845161572
42,2013-08-26,1007.5200692800387,1040.3161733421182,1265970.212835022,1426601.0473906999,3,3,0.968474868600073,-160630.83455567784
43,2013-08-27,280.1249119223049,379.79074085378255,1266250.3377469443,1426980.8381315537,1,1,0.7375769911940836,-160730.50038460945
44,2013-08-30,774.5264367537185,1039.5301816062029,1267024.864183698,1428020.36831316,2,2,0.7450735442399365,-160995.50412946194
45,2013-09-02,34512.448745245085,38089.30248061298,1301537.3129289432,1466109.670793773,283,100,0.9060929578012494,-164572.3578648297
46,2013-09-03,37911.45547904515,37048.849491825626,1339448.7684079884,1503158.5202855985,125,100,1.023282935881986,-163709.7518776101
47,2013-09-04,32351.283780834125,32679.5652926033,1371800.0521888225,1535838.0855782018,85,85,0.989954532478329,-164038.03338937927
48,2013-09-05,42081.68435192128,43644.16163035335,1413881.7365407438,1579482.2472085552,212,100,0.9641996267068763,-165600.51066781138
49,2013-09-06,50144.12036888477,56350.36209066441,1464025.8569096287,1635832.6092992197,783,100,0.8898633213430969,-171806.75238959095
50,2013-09-09,1766.3571466405692,1806.9320392890186,1465792.2140562693,1637639.5413385087,5,5,0.9775448706613147,-171847.32728223945
51,2013-09-10,903.6895481286587,983.1361560407166,1466695.903604398,1638622.6774945494,3,3,0.9191906355758442,-171926.7738901514
52,2013-09-11,598.3919775728305,434.00463583710416,1467294.2955819708,1639056.6821303866,2,2,1.3787686309356062,-171762.38654841576
53,2013-09-16,35022.341441958284,39116.26202981377,1502316.637023929,1678172.9441602004,409,100,0.8953396777857975,-175856.30713627138
54,2013-09-17,40486.94727674001,43890.77994473455,1542803.5843006691,1722063.724104935,333,100,0.922447660481757,-179260.13980426593
55,2013-09-18,43445.27594442787,48737.47281278541,1586248.860245097,1770801.1969177204,351,100,0.8914142124544212,-184552.3366726234
56,2013-09-19,50717.73950430319,52730.82309263689,1636966.5997494,1823532.0200103573,545,100,0.9618233991000454,-186565.4202609572
57,2013-09-20,52994.85381732021,59542.440038693,1689961.4535667202,1883074.4600490502,839,100,0.8900349697271742,-193113.00648232992
58,2013-09-23,301.1961197505976,253.35556039331283,1690262.6496864709,1883327.8156094435,1,1,1.188827745809156,-193065.1659229726
59,2013-09-24,236.33701875977175,170.8991054488779,1690498.9867052305,1883498.7147148924,1,1,1.3829037790397838,-192999.7280096619
60,2013-09-26,391.6275045956419,293.1099740282101,1690890.614209826,1883791.8246889208,1,1,1.3361111504105625,-192901.21047909465
61,2013-09-30,37364.9003961646,41095.370913678555,1728255.5146059906,1924887.1956025993,302,100,0.9092240698995061,-196631.6809966087
62,2013-10-01,34516.67139939431,34190.637789258166,1762772.186005385,1959077.8333918576,97,97,1.0095357568977137,-196305.64738647267
63,2013-10-02,17972.589219294325,17584.763908966288,1780744.7752246791,1976662.5973008238,46,46,1.0220546213947341,-195917.82207614463
64,2013-10-03,523.841801987802,618.6645921330924,1781268.6170266669,1977281.261892957,2,2,0.8467298899095695,-196012.64486629004
65,2013-10-04,55482.28341051026,60925.98780984677,1836750.9004371772,2038207.2497028038,852,100,0.9106505352637597,-201456.34926562663
66,2013-10-07,43891.54252657155,43005.87429465543,1880642.4429637487,2081213.1239974592,111,100,1.0205941222319528,-200570.68103371048
67,2013-10-08,7068.7956287580355,6999.2499647524555,1887711.2385925069,2088212.3739622117,21,21,1.0099361594964897,-200501.1353697048
68,2013-10-09,16825.93036747198,16491.96281034126,1904537.1689599787,2104704.3367725527,46,46,1.0202503219884358,-200167.16781257396
69,2013-10-10,457.1595752454813,395.025325084133,1904994.3285352243,2105099.362097637,2,2,1.157291814513702,-200105.0335624125
70,2013-10-11,6691.095367263548,6825.673292486369,1911685.4239024878,2111925.0353901233,22,22,0.9802835677220351,-200239.6114876354
71,2013-10-14,34941.24378814579,40174.84779919521,1946626.6676906336,2152099.8831893187,450,100,0.8697293381867084,-205473.21549868514
72,2013-10-15,41582.84436337859,42948.625560137174,1988209.5120540122,2195048.5087494557,325,100,0.9681996529819982,-206838.99669544352
73,2013-10-16,42726.73359578617,47026.82320935652,2030936.2456497983,2242075.331958812,232,100,0.9085609165129659,-211139.0863090139
74,2013-10-17,45589.31596246683,48567.377938506914,2076525.5616122652,2290642.7098973193,270,100,0.9386818456658146,-214117.14828505414
75,2013-10-18,49089.06819662186,51028.940603973715,2125614.629808887,2341671.650501293,417,100,0.9619848583099765,-216057.02069240622
76,2013-10-22,827.2522916707653,779.3595152995541,2126441.8821005574,2342451.0100165927,3,3,1.061451455241171,-216009.12791603524
77,2013-10-23,328.5653950098782,194.72530156035373,2126770.447495567,2342645.735318153,1,1,1.6873276989536037,-215875.28782258602
78,2013-10-25,529.3940472058896,525.0084032338805,2127299.841542773,2343170.743721387,2,2,1.0083534738586943,-215870.90217861393
79,2013-10-28,42220.91716242788,46649.78525071887,2169520.7587052006,2389820.5289721056,536,100,0.9050613402722418,-220299.77026690496
80,2013-10-29,45639.83424479814,47496.42729927653,2215160.5929499986,2437316.956271382,274,100,0.9609108903543431,-222156.36332138348
81,2013-10-30,46610.1438003056,50895.76482235797,2261770.7367503042,2488212.72109374,253,100,0.9157961170834054,-226441.98434343562
82,2013-10-31,53286.06233863164,62827.81368190429,2315056.799088936,2551040.534775644,392,100,0.8481285471497971,-235983.73568670824
83,2013-11-01,47972.768281090124,55297.552448041795,2363029.567370026,2606338.087223686,197,100,0.8675387274358278,-243308.5198536599
84,2013-11-04,66619.89395680791,73205.30709239846,2429649.461326834,2679543.394316084,933,100,0.9100418617562992,-249893.9329892504
85,2013-11-05,69094.05124450341,74023.11344952861,2498743.512571337,2753566.507765613,1072,100,0.9334118496868414,-254822.99519427586
86,2013-11-06,68586.04516532725,75856.55949957042,2567329.5577366645,2829423.0672651837,1062,100,0.9041544411952358,-262093.50952851912
87,2013-11-07,69420.17758689809,72268.98414285129,2636749.7353235628,2901692.0514080347,871,100,0.9605805091943443,-264942.316084472
88,2013-11-08,68829.99525719452,74941.75910451086,2705579.7305807574,2976633.8105125455,1053,100,0.9184464853728198,-271054.07993178815
89,2013-11-11,44705.222397424506,44899.31440601351,2750284.9529781817,3021533.124918559,103,100,0.9956771721092693,-271248.17194037745
90,2013-11-12,47231.76544838323,47616.88604324589,2797516.7184265647,3069150.010961805,142,100,0.9919121003731136,-271633.2925352403
91,2013-11-13,63484.71639241882,65316.11178362067,2861001.4348189835,3134466.1227454254,544,100,0.9719610469577721,-273464.6879264419
92,2013-11-14,66717.19836642354,70594.15077648815,2927718.633185407,3205060.2735219137,742,100,0.9450811098735413,-277341.64033650653
93,2013-11-15,62364.16782239754,64357.12758631492,2990082.8010078045,3269417.4011082286,526,100,0.9690328043114658,-279334.60010042414
94,2013-11-18,69102.77686255846,74296.29746684778,3059185.577870363,3343713.698575076,1021,100,0.930097181402522,-284528.1207047133
95,2013-11-19,71830.07348189842,73385.04260930771,3131015.651352261,3417098.741184384,919,100,0.9788108165898637,-286083.0898321229
96,2013-11-20,72195.76567157681,73194.43729554283,3203211.417023838,3490293.178479927,987,100,0.9863559081691741,-287081.7614560891
97,2013-11-21,70529.29228138206,74656.2230301244,3273740.7093052203,3564949.4015100515,1081,100,0.9447208741449847,-291208.69220483117
98,2013-11-22,70737.2584238585,74493.63508785382,3344477.9677290786,3639443.036597905,1098,100,0.949574528621603,-294965.0688688266
99,2013-11-25,40501.6868847827,40080.28889950115,3384979.6546138613,3679523.3254974065,87,87,1.0105138460039091,-294543.6708835452
100,2013-11-26,50792.505645355246,53133.7547351624,3435772.1602592166,3732657.080232569,206,100,0.9559366903115208,-296884.91997335246
101,2013-11-27,64710.776366458165,66427.0188738943,3500482.936625675,3799084.099106463,468,100,0.9741634874403402,-298601.1624807883
102,2013-11-28,57952.38483984309,60842.900021995585,3558435.321465518,3859926.9991284586,397,100,0.9524921530514238,-301491.6776629407
103,2013-11-29,64629.514333767904,67944.3138141794,3623064.8357992857,3927871.312942638,455,100,0.9512129964329741,-304806.4771433524
104,2013-12-02,69670.91280869847,76502.42301645018,3692735.7486079843,4004373.7359590884,997,100,0.9107020413421058,-311637.98735110415
105,2013-12-03,69139.14660842846,75239.05147210158,3761874.895216413,4079612.78743119,975,100,0.9189263455037715,-317737.89221477695
106,2013-12-04,69813.88990648562,76316.21678692603,3831688.7851228984,4155929.004218116,1078,100,0.9147975731213874,-324240.21909521753
107,2013-12-05,70187.68618660147,73937.62008230132,3901876.4713095,4229866.6243004175,1090,100,0.9492824641701243,-327990.1529909177
108,2013-12-06,70760.51519694978,75450.78293931785,3972636.9865064495,4305317.407239735,1050,100,0.9378367253506134,-332680.4207332856
109,2013-12-09,46276.1934354526,45336.36580665967,4018913.179941902,4350653.773046395,74,74,1.0207301051169584,-331740.5931044929
110,2013-12-10,43187.3324358545,42792.292069019495,4062100.5123777566,4393446.065115415,84,84,1.0092315776448209,-331345.5527376579
111,2013-12-11,47674.48959298016,45723.84490683505,4109775.001970737,4439169.910022249,109,100,1.0426614316910499,-329394.90805151267
112,2013-12-12,58785.73499372251,59151.54111348144,4168560.736964459,4498321.451135731,142,100,0.993815780402794,-329760.71417127224
113,2013-12-13,70621.57419758069,74921.07447716428,4239182.31116204,4573242.525612895,908,100,0.9426129388881888,-334060.21445085574
114,2013-12-16,70968.45057508013,75630.702328729,4310150.761737119,4648873.227941625,1008,100,0.9383550382305801,-338722.4662045054
